OrderID,Date,Quantity,CategoryID,CategoryName,ProdName,Price,CustomerID,CustomerCity,CustomerState,total_sales
75,2020-01-16 00:00:00.000,5,2,Drone Kits,BYOD-350,"89,95",96,Chattanooga,Tennessee,"449,75"
76,2020-01-17 00:00:00.000,4,4,eBooks,Building Your Own Drone,"24,99",1.264,Albuquerque,New Mexico,"99,96"
77,2020-01-17 00:00:00.000,3,5,Robot Kits,BYOR-3000,"214,00",606,Charleston,West Virginia,"642,00"
78,2020-01-17 00:00:00.000,6,4,eBooks,SCARA Robots,"19,50",1.285,Birmingham,Alabama,"117,00"
79,2020-01-18 00:00:00.000,3,2,Drone Kits,BYOD-550,"179,00",897,Fresno,California,"537,00"
80,2020-01-18 00:00:00.000,2,1,Blueprints,QuadroCopter Blueprint,"10,99",522,Newark,Delaware,"21,98"
81,2020-01-18 00:00:00.000,3,4,eBooks,Understanding Artificial Intelligence,"19,50",653,Spokane,Washington,"58,50"
82,2020-01-18 00:00:00.000,2,7,Training Videos,Drone Video Techniques,"37,99",1.845,Birmingham,Alabama,"75,98"
83,2020-01-18 00:00:00.000,6,4,eBooks,Cartesian Robots,"12,99",1.052,Irvine,California,"77,94"
84,2020-01-19 00:00:00.000,3,2,Drone Kits,BYOD-350,"89,95",1.751,San Antonio,Texas,"269,85"
85,2020-01-19 00:00:00.000,5,5,Robot Kits,BYOR-1500,"189,00",772,Long Beach,California,"945,00"
86,2020-01-19 00:00:00.000,5,2,Drone Kits,BYOD-400S,"129,95",1.626,Roanoke,Virginia,"649,75"
87,2020-01-20 00:00:00.000,1,4,eBooks,Single Rotor Drones,"14,99",99,Rochester,New York,"14,99"
88,2020-01-20 00:00:00.000,3,4,eBooks,Understanding Artificial Intelligence,"19,50",209,New Orleans,Louisiana,"58,50"
89,2020-01-20 00:00:00.000,4,4,eBooks,Helicopter Drones,"20,95",459,San Luis Obispo,California,"83,80"
90,2020-01-21 00:00:00.000,2,4,eBooks,Cartesian Robots,"12,99",430,Odessa,Texas,"25,98"
91,2020-01-21 00:00:00.000,2,4,eBooks,Building Your First Robot,"24,95",1.614,Salt Lake City,Utah,"49,90"
92,2020-01-21 00:00:00.000,4,5,Robot Kits,BYOR-1000,"189,00",681,Los Angeles,California,"756,00"
93,2020-01-21 00:00:00.000,4,6,Robots,RXW-9807 Robot,"599,00",1.634,Saint Paul,Minnesota,"2.396,00"
94,2020-01-21 00:00:00.000,2,4,eBooks,SCARA Robots,"19,50",1.792,Evansville,Indiana,"39,00"
95,2020-01-21 00:00:00.000,5,6,Robots,RXW-9807 Robot,"599,00",865,Sacramento,California,"2.995,00"
96,2020-01-21 00:00:00.000,4,3,Drones,MICR-564K Drone,"499,00",932,Boston,Massachusetts,"1.996,00"
97,2020-01-21 00:00:00.000,3,3,Drones,DA-SA702 Drone,"399,00",719,Riverside,California,"1.197,00"
98,2020-01-21 00:00:00.000,5,3,Drones,DTD-7000 Drone,"450,00",1.830,San Francisco,California,"2.250,00"
99,2020-01-21 00:00:00.000,3,4,eBooks,Single Rotor Drones,"14,99",1.524,Evansville,Indiana,"44,97"
100,2020-01-21 00:00:00.000,6,6,Robots,RLK-9920 Robot,"699,00",847,Miami,Florida,"4.194,00"
101,2020-01-21 00:00:00.000,2,5,Robot Kits,BYOR-3535,"225,00",1.002,Washington,District of Columbia,"450,00"
102,2020-01-22 00:00:00.000,3,3,Drones,DX-145 Drone,"250,00",1.326,Lehigh Acres,Florida,"750,00"
103,2020-01-22 00:00:00.000,5,2,Drone Kits,BYOD-200,"58,95",1.833,Bronx,New York,"294,75"
104,2020-01-22 00:00:00.000,1,3,Drones,DC-304 Drone,"395,00",1.302,Fort Lauderdale,Florida,"395,00"
105,2020-01-22 00:00:00.000,3,4,eBooks,Understanding Artificial Intelligence,"19,50",1.103,Idaho Falls,Idaho,"58,50"
106,2020-01-22 00:00:00.000,4,3,Drones,DTI-84 Drone,"455,00",1.830,San Francisco,California,"1.820,00"
107,2020-01-23 00:00:00.000,5,7,Training Videos,Virtual Reality Basics,"29,99",2.035,Saint Petersburg,Florida,"149,95"
108,2020-01-23 00:00:00.000,2,7,Training Videos,Cloud Computing,"29,99",260,Birmingham,Alabama,"59,98"
109,2020-01-23 00:00:00.000,3,4,eBooks,Multi Rotor Drones,"24,95",1.824,Jersey City,New Jersey,"74,85"
110,2020-01-23 00:00:00.000,5,6,Robots,RCB-889 Robot,"549,00",1.737,Cincinnati,Ohio,"2.745,00"
111,2020-01-23 00:00:00.000,5,3,Drones,DTI-84 Drone,"455,00",160,Syracuse,New York,"2.275,00"
112,2020-01-23 00:00:00.000,4,4,eBooks,Cartesian Robots,"12,99",551,Littleton,Colorado,"51,96"
113,2020-01-23 00:00:00.000,4,1,Blueprints,All Eyes Drone Blueprint,"9,99",1.589,Chicago,Illinois,"39,96"
114,2020-01-23 00:00:00.000,4,2,Drone Kits,BYOD-400,"119,00",275,Newark,New Jersey,"476,00"
115,2020-01-23 00:00:00.000,4,7,Training Videos,Understanding Drone Regulations,"27,50",1.523,Wichita,Kansas,"110,00"
116,2020-01-24 00:00:00.000,3,7,Training Videos,Robotic Essentials,"34,99",20,Cedar Rapids,Iowa,"104,97"
117,2020-01-24 00:00:00.000,2,3,Drones,DTI-84 Drone,"455,00",908,San Diego,California,"910,00"
118,2020-01-24 00:00:00.000,3,3,Drones,DA-SA702 Drone,"399,00",2.031,Carson City,Nevada,"1.197,00"
119,2020-01-24 00:00:00.000,3,1,Blueprints,QuadroCopter Blueprint,"10,99",1.436,Anchorage,Alaska,"32,97"
120,2020-01-24 00:00:00.000,4,4,eBooks,Cartesian Robots,"12,99",1.599,San Jose,California,"51,96"
121,2020-01-24 00:00:00.000,5,5,Robot Kits,BYOR-4005,"245,00",303,Durham,North Carolina,"1.225,00"
122,2020-01-24 00:00:00.000,1,7,Training Videos,Drone Video Techniques,"37,99",5,Midland,Texas,"37,99"
123,2020-01-25 00:00:00.000,5,3,Drones,DX-145 Drone,"250,00",1.078,Topeka,Kansas,"1.250,00"
124,2020-01-25 00:00:00.000,5,1,Blueprints,Ladybug Robot Blueprint,"12,00",1.646,New Orleans,Louisiana,"60,00"
125,2020-01-25 00:00:00.000,3,7,Training Videos,Mapping with Drones,"49,00",831,Montgomery,Alabama,"147,00"
126,2020-01-25 00:00:00.000,4,7,Training Videos,Drone Video Techniques,"37,99",1.111,Bakersfield,California,"151,96"
127,2020-01-26 00:00:00.000,4,2,Drone Kits,BYOD-500,"167,00",1.886,Muncie,Indiana,"668,00"
128,2020-01-26 00:00:00.000,5,3,Drones,DTI-84 Drone,"455,00",2.013,Saint Louis,Missouri,"2.275,00"
129,2020-01-26 00:00:00.000,3,4,eBooks,Drone Building Essentials,"13,99",1.848,Fresno,California,"41,97"
130,2020-01-27 00:00:00.000,1,4,eBooks,GPS Drones,"19,99",1.533,Sacramento,California,"19,99"
131,2020-01-27 00:00:00.000,3,6,Robots,RQTE-554 Robot,"684,00",1.591,Santa Barbara,California,"2.052,00"
132,2020-01-27 00:00:00.000,5,4,eBooks,Building Your Own Drone,"24,99",345,Anchorage,Alaska,"124,95"
133,2020-01-27 00:00:00.000,1,1,Blueprints,Bsquare Robot Blueprint,"8,99",256,Hartford,Connecticut,"8,99"
134,2020-01-27 00:00:00.000,5,4,eBooks,GPS Drones,"19,99",1.031,Norfolk,Virginia,"99,95"
135,2020-01-27 00:00:00.000,4,4,eBooks,Photograph Drones,"14,99",216,Newark,New Jersey,"59,96"
136,2020-01-27 00:00:00.000,5,4,eBooks,Understanding Arduino,"17,50",1.839,Boynton Beach,Florida,"87,50"
137,2020-01-28 00:00:00.000,3,7,Training Videos,Industrial 3D Printing,"49,00",1.802,Philadelphia,Pennsylvania,"147,00"
138,2020-01-28 00:00:00.000,4,4,eBooks,Building Your First Robot,"24,95",1.306,Hartford,Connecticut,"99,80"
139,2020-01-28 00:00:00.000,3,4,eBooks,GPS Drones,"19,99",1.942,Boston,Massachusetts,"59,97"
140,2020-01-29 00:00:00.000,4,1,Blueprints,Creature Robot Arms Blueprint,"12,00",1.842,San Angelo,Texas,"48,00"
141,2020-01-29 00:00:00.000,4,4,eBooks,Cartesian Robots,"12,99",1.344,Young America,Minnesota,"51,96"
142,2020-01-29 00:00:00.000,5,7,Training Videos,AI for Educators,"49,95",1.161,Zephyrhills,Florida,"249,75"
143,2020-01-30 00:00:00.000,4,4,eBooks,Polar Robots,"23,99",1.227,Madison,Wisconsin,"95,96"
144,2020-01-30 00:00:00.000,5,6,Robots,RCB-889 Robot,"549,00",1.157,San Antonio,Texas,"2.745,00"
145,2020-01-30 00:00:00.000,4,2,Drone Kits,BYOD-400,"119,00",1.572,Knoxville,Tennessee,"476,00"
146,2020-01-30 00:00:00.000,3,1,Blueprints,Ladybug Robot Blueprint,"12,00",1.696,Brooklyn,New York,"36,00"
147,2020-01-30 00:00:00.000,3,6,Robots,RCB-889 Robot,"549,00",1.741,Oxnard,California,"1.647,00"
148,2020-01-31 00:00:00.000,3,7,Training Videos,Cloud Computing,"29,99",451,Oakland,California,"89,97"
149,2020-01-31 00:00:00.000,4,2,Drone Kits,BYOD-500,"167,00",961,Scottsdale,Arizona,"668,00"
150,2020-01-31 00:00:00.000,2,3,Drones,DTD-7000 Drone,"450,00",568,Madison,Wisconsin,"900,00"
151,2020-01-31 00:00:00.000,3,7,Training Videos,Aerial Security,"36,99",2.031,Carson City,Nevada,"110,97"
152,2020-01-31 00:00:00.000,4,4,eBooks,Building Your First Robot,"24,95",1.136,Toledo,Ohio,"99,80"
153,2020-01-31 00:00:00.000,2,5,Robot Kits,BYOR-1000,"189,00",1.983,Cumming,Georgia,"378,00"
154,2020-02-01 00:00:00.000,1,7,Training Videos,AI for Educators,"49,95",1.119,Springfield,Illinois,"49,95"
155,2020-02-01 00:00:00.000,5,7,Training Videos,Robotic Essentials,"34,99",685,Fairbanks,Alaska,"174,95"
156,2020-02-01 00:00:00.000,3,2,Drone Kits,BYOD-550,"179,00",1.505,Reno,Nevada,"537,00"
157,2020-02-01 00:00:00.000,4,4,eBooks,Understanding Arduino,"17,50",535,New York City,New York,"70,00"
158,2020-02-02 00:00:00.000,5,1,Blueprints,Hexacopter Drone Blueprint,"8,99",1.648,Charleston,South Carolina,"44,95"
159,2020-02-02 00:00:00.000,5,1,Blueprints,Hexacopter Drone Blueprint,"8,99",645,El Paso,Texas,"44,95"
160,2020-02-02 00:00:00.000,4,1,Blueprints,Sleepy Eye Blueprint,"11,99",1.036,Birmingham,Alabama,"47,96"
161,2020-02-02 00:00:00.000,2,1,Blueprints,Panda Robot Blueprint,"7,99",1.628,Columbus,Ohio,"15,98"
162,2020-02-02 00:00:00.000,5,4,eBooks,Helicopter Drones,"20,95",1.996,Tacoma,Washington,"104,75"
163,2020-02-02 00:00:00.000,2,6,Robots,RCB-889 Robot,"549,00",1.585,Houston,Texas,"1.098,00"
164,2020-02-03 00:00:00.000,3,4,eBooks,Polar Robots,"23,99",868,Salt Lake City,Utah,"71,97"
165,2020-02-03 00:00:00.000,3,4,eBooks,Articulated Robots,"23,99",1.991,Colorado Springs,Colorado,"71,97"
166,2020-02-03 00:00:00.000,2,2,Drone Kits,BYOD-200,"58,95",604,San Antonio,Texas,"117,90"
167,2020-02-03 00:00:00.000,5,6,Robots,RXW-9807 Robot,"599,00",1.070,Orlando,Florida,"2.995,00"
168,2020-02-04 00:00:00.000,4,6,Robots,RCB-889 Robot,"549,00",1.825,Bloomington,Illinois,"2.196,00"
169,2020-02-04 00:00:00.000,6,5,Robot Kits,BYOR-1500,"189,00",481,Minneapolis,Minnesota,"1.134,00"
170,2020-02-04 00:00:00.000,5,4,eBooks,Fixed Wing Drones,"15,50",2.021,Hot Springs National Park,Arkansas,"77,50"
171,2020-02-04 00:00:00.000,3,1,Blueprints,QuadroCopter Blueprint,"10,99",500,Kansas City,Kansas,"32,97"
172,2020-02-04 00:00:00.000,3,7,Training Videos,Understanding Raspberry PI,"28,99",1.320,Akron,Ohio,"86,97"
173,2020-02-05 00:00:00.000,3,4,eBooks,Multi Rotor Drones,"24,95",707,Riverside,California,"74,85"
174,2020-02-05 00:00:00.000,2,2,Drone Kits,BYOD-300,"89,00",1.296,Cincinnati,Ohio,"178,00"
175,2020-02-05 00:00:00.000,5,5,Robot Kits,BYOR-3000,"214,00",496,Anchorage,Alaska,"1.070,00"
176,2020-02-05 00:00:00.000,3,2,Drone Kits,BYOD-200,"58,95",1.547,Austin,Texas,"176,85"
177,2020-02-05 00:00:00.000,2,7,Training Videos,Virtual Reality Basics,"29,99",1.508,Peoria,Illinois,"59,98"
178,2020-02-06 00:00:00.000,3,2,Drone Kits,BYOD-500,"167,00",1.267,Miami,Florida,"501,00"
179,2020-02-06 00:00:00.000,3,4,eBooks,Delivery Drones,"14,99",204,Minneapolis,Minnesota,"44,97"
180,2020-02-06 00:00:00.000,4,1,Blueprints,Cat Robot Blueprint,"4,99",1.018,Fort Wayne,Indiana,"19,96"
181,2020-02-06 00:00:00.000,3,2,Drone Kits,BYOD-550,"179,00",770,Detroit,Michigan,"537,00"
182,2020-02-06 00:00:00.000,3,1,Blueprints,Sleepy Eye Blueprint,"11,99",1.081,Huntington Beach,California,"35,97"
183,2020-02-07 00:00:00.000,4,4,eBooks,Building Your Own Drone,"24,99",661,Fargo,North Dakota,"99,96"
184,2020-02-07 00:00:00.000,4,4,eBooks,Cartesian Robots,"12,99",302,Madison,Wisconsin,"51,96"
185,2020-02-07 00:00:00.000,4,1,Blueprints,Bsquare Robot Blueprint,"8,99",1.589,Chicago,Illinois,"35,96"
186,2020-02-07 00:00:00.000,2,4,eBooks,Delivery Drones,"14,99",1.084,Montgomery,Alabama,"29,98"
187,2020-02-07 00:00:00.000,1,4,eBooks,Building Your Own Drone,"24,99",840,Atlanta,Georgia,"24,99"
188,2020-02-07 00:00:00.000,5,3,Drones,MICR-564K Drone,"499,00",510,Reston,Virginia,"2.495,00"
189,2020-02-08 00:00:00.000,5,7,Training Videos,Understanding Drone Regulations,"27,50",454,Las Vegas,Nevada,"137,50"
190,2020-02-08 00:00:00.000,6,4,eBooks,Delivery Drones,"14,99",1.068,Boston,Massachusetts,"89,94"
191,2020-02-08 00:00:00.000,4,2,Drone Kits,BYOD-400S,"129,95",1.634,Saint Paul,Minnesota,"519,80"
192,2020-02-08 00:00:00.000,2,7,Training Videos,Understanding Drone Regulations,"27,50",1.023,Denver,Colorado,"55,00"
193,2020-02-08 00:00:00.000,3,3,Drones,DTE-QFN20 Drone,"250,00",958,Miami,Florida,"750,00"
194,2020-02-08 00:00:00.000,4,6,Robots,RWW-75 Robot,"883,00",202,Fort Worth,Texas,"3.532,00"
195,2020-02-09 00:00:00.000,3,4,eBooks,Photograph Drones,"14,99",1.634,Saint Paul,Minnesota,"44,97"
196,2020-02-09 00:00:00.000,3,1,Blueprints,Creature Robot Arms Blueprint,"12,00",1.761,Pasadena,California,"36,00"
197,2020-02-09 00:00:00.000,4,6,Robots,RLK-9920 Robot,"699,00",934,Glendale,California,"2.796,00"
198,2020-02-09 00:00:00.000,3,1,Blueprints,Creature Robot Arms Blueprint,"12,00",1.033,Tulsa,Oklahoma,"36,00"
199,2020-02-09 00:00:00.000,2,4,eBooks,GPS Drones,"19,99",1.905,Abilene,Texas,"39,98"
200,2020-02-09 00:00:00.000,6,2,Drone Kits,BYOD-200,"58,95",922,Columbia,Missouri,"353,70"
201,2020-02-09 00:00:00.000,3,5,Robot Kits,BYOR-1000,"189,00",456,Atlanta,Georgia,"567,00"
202,2020-02-10 00:00:00.000,1,2,Drone Kits,BYOD-400S,"129,95",1.614,Salt Lake City,Utah,"129,95"
203,2020-02-10 00:00:00.000,2,7,Training Videos,AI for Educators,"49,95",312,Phoenix,Arizona,"99,90"
204,2020-02-10 00:00:00.000,3,4,eBooks,Photograph Drones,"14,99",203,Las Vegas,Nevada,"44,97"
205,2020-02-10 00:00:00.000,3,5,Robot Kits,BYOR-1000,"189,00",1.289,Portland,Oregon,"567,00"
206,2020-02-11 00:00:00.000,5,2,Drone Kits,BYOD-400S,"129,95",1.894,Tucson,Arizona,"649,75"
207,2020-02-11 00:00:00.000,4,4,eBooks,RTF Drones,"16,99",1.951,Corona,California,"67,96"
208,2020-02-11 00:00:00.000,3,3,Drones,DC-304 Drone,"395,00",1.290,Columbus,Ohio,"1.185,00"
209,2020-02-11 00:00:00.000,3,4,eBooks,Multi Rotor Drones,"24,95",802,Bismarck,North Dakota,"74,85"
210,2020-02-11 00:00:00.000,2,6,Robots,RQTE-554 Robot,"684,00",1.399,Detroit,Michigan,"1.368,00"
211,2020-02-12 00:00:00.000,4,3,Drones,DA-SA702 Drone,"399,00",1.119,Springfield,Illinois,"1.596,00"
212,2020-02-12 00:00:00.000,6,1,Blueprints,Bsquare Robot Blueprint,"8,99",2.059,Kansas City,Kansas,"53,94"
213,2020-02-12 00:00:00.000,5,4,eBooks,Polar Robots,"23,99",1.584,Hartford,Connecticut,"119,95"
214,2020-02-12 00:00:00.000,1,3,Drones,DTI-84 Drone,"455,00",680,Washington,District of Columbia,"455,00"
215,2020-02-12 00:00:00.000,5,7,Training Videos,Robotic Essentials,"34,99",156,Washington,District of Columbia,"174,95"
216,2020-02-12 00:00:00.000,6,6,Robots,RLK-9920 Robot,"699,00",1.549,Galveston,Texas,"4.194,00"
217,2020-02-12 00:00:00.000,5,7,Training Videos,Understanding 3D Printing,"42,99",1.797,Denver,Colorado,"214,95"
218,2020-02-12 00:00:00.000,4,2,Drone Kits,BYOD-220,"69,00",906,Flint,Michigan,"276,00"
219,2020-02-13 00:00:00.000,2,3,Drones,DX-145 Drone,"250,00",1.233,Des Moines,Iowa,"500,00"
220,2020-02-13 00:00:00.000,5,6,Robots,RLK-9920 Robot,"699,00",1.043,Omaha,Nebraska,"3.495,00"
221,2020-02-13 00:00:00.000,5,7,Training Videos,Open Source Code,"32,95",1.161,Zephyrhills,Florida,"164,75"
222,2020-02-13 00:00:00.000,5,4,eBooks,Spherical Robots,"16,75",1.002,Washington,District of Columbia,"83,75"
223,2020-02-13 00:00:00.000,4,5,Robot Kits,BYOR-3000,"214,00",848,Aurora,Illinois,"856,00"
224,2020-02-14 00:00:00.000,4,7,Training Videos,Drone Video Techniques,"37,99",1.905,Abilene,Texas,"151,96"
225,2020-02-14 00:00:00.000,2,2,Drone Kits,BYOD-400S,"129,95",240,Redwood City,California,"259,90"
226,2020-02-14 00:00:00.000,3,6,Robots,RCB-889 Robot,"549,00",150,Houston,Texas,"1.647,00"
227,2020-02-15 00:00:00.000,3,1,Blueprints,Creature Robot Arms Blueprint,"12,00",2.040,Roanoke,Virginia,"36,00"
228,2020-02-15 00:00:00.000,6,1,Blueprints,Creature Robot Arms Blueprint,"12,00",1.414,Oakland,California,"72,00"
